TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1553501424103	295.813477	27.716524	-31.291367	0.995024	-0.000036	0.000002	-0.099639	img_0_0_1553501424739939100.png;img_1_1_1553501424747315900.png
1553501424499	297.267761	28.534763	-31.679041	0.994797	-0.000003	0.000000	-0.101874	img_0_0_1553501425134365100.png;img_1_1_1553501425143635900.png
1553501424895	298.710388	29.346573	-32.071846	0.994398	-0.002622	0.000275	-0.105666	img_0_0_1553501425532096000.png;img_1_1_1553501425540286700.png
1553501425285	300.119019	30.134785	-32.463402	0.993713	-0.001003	0.000103	-0.111950	img_0_0_1553501425925908500.png;img_1_1_1553501425933706000.png
1553501425681	301.537415	30.925552	-32.865150	0.993295	-0.000078	0.000008	-0.115609	img_0_0_1553501426321172800.png;img_1_1_1553501426329232500.png
1553501426092	302.998047	31.739532	-33.287334	0.993201	-0.000005	0.000000	-0.116411	img_0_0_1553501426731218300.png;img_1_1_1553501426740666600.png
1553501426512	304.478882	32.564747	-33.713348	0.993182	-0.000000	-0.000000	-0.116575	img_0_0_1553501427153726400.png;img_1_1_1553501427161465800.png
1553501426905	305.853882	33.331005	-34.061920	0.993178	-0.000000	-0.000000	-0.116606	img_0_0_1553501427545839400.png;img_1_1_1553501427554715300.png
1553501427274	307.135529	34.045334	-34.336853	0.993178	-0.000000	-0.000000	-0.116613	img_0_0_1553501427916249800.png;img_1_1_1553501427923955800.png
1553501427631	308.367096	34.731766	-34.557426	0.993177	-0.000016	-0.000138	-0.116614	img_0_0_1553501428271552600.png;img_1_1_1553501428279753000.png
1553501427991	309.601074	35.419327	-34.737217	0.993177	-0.000024	-0.000203	-0.116614	img_0_0_1553501428635165100.png;img_1_1_1553501428643157800.png
